movieRow,movieId,title
221,249,Immortal Beloved (1994)
222,250,Heavyweights (Heavy Weights) (1995)
223,251,"Hunted, The (1995)"
224,252,I.Q. (1994)
225,253,Interview with the Vampire: The Vampire Chronicles (1994)
226,254,Jefferson in Paris (1995)
227,255,"Jerky Boys, The (1995)"
228,256,Junior (1994)
229,257,Just Cause (1995)
230,258,"Kid in King Arthur's Court, A (1995)"
231,259,Kiss of Death (1995)
232,260,Star Wars: Episode IV - A New Hope (1977)
233,261,Little Women (1994)
234,262,"Little Princess, A (1995)"
235,263,Ladybird Ladybird (1994)
236,264,"Enfer, L' (1994)"
237,265,Like Water for Chocolate (Como agua para chocolate) (1992)
238,266,Legends of the Fall (1994)
239,267,Major Payne (1995)
240,268,Little Odessa (1994)
241,269,My Crazy Life (Mi vida loca) (1993)
242,270,Love Affair (1994)
243,271,Losing Isaiah (1995)
244,272,"Madness of King George, The (1994)"
245,273,Mary Shelley's Frankenstein (Frankenstein) (1994)
246,274,Man of the House (1995)
247,275,Mixed Nuts (1994)
248,276,Milk Money (1994)
249,277,Miracle on 34th Street (1994)
250,278,Miami Rhapsody (1995)
251,279,My Family (1995)
252,280,Murder in the First (1995)
253,281,Nobody's Fool (1994)
254,282,Nell (1994)
255,283,New Jersey Drive (1995)
256,285,Beyond Bedlam (1993)
257,287,Nina Takes a Lover (1994)
258,288,Natural Born Killers (1994)
259,289,Only You (1994)
260,290,Once Were Warriors (1994)
261,291,Poison Ivy II (1996)
262,292,Outbreak (1995)
263,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
264,294,"Perez Family, The (1995)"
265,295,"Pyromaniac's Love Story, A (1995)"
266,296,Pulp Fiction (1994)
267,299,Priest (1994)
268,300,Quiz Show (1994)
269,301,Picture Bride (Bijo photo) (1994)
270,302,"Queen Margot (Reine Margot, La) (1994)"
271,303,"Quick and the Dead, The (1995)"
272,304,Roommates (1995)
273,305,Ready to Wear (Pret-A-Porter) (1994)
274,306,Three Colors: Red (Trois couleurs: Rouge) (1994)
275,307,Three Colors: Blue (Trois couleurs: Bleu) (1993)
276,308,Three Colors: White (Trzy kolory: Bialy) (1994)
277,309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)"
278,312,Stuart Saves His Family (1995)
279,313,"Swan Princess, The (1994)"
280,314,"Secret of Roan Inish, The (1994)"
281,315,"Specialist, The (1994)"
282,316,Stargate (1994)
283,317,"Santa Clause, The (1994)"
284,318,"Shawshank Redemption, The (1994)"
285,319,Shallow Grave (1994)
286,320,Suture (1993)
287,321,Strawberry and Chocolate (Fresa y chocolate) (1993)
288,322,Swimming with Sharks (1995)
289,324,"Sum of Us, The (1994)"
290,325,National Lampoon's Senior Trip (1995)
291,326,To Live (Huozhe) (1994)
292,327,Tank Girl (1995)
293,328,Tales from the Crypt Presents: Demon Knight (1995)
294,329,Star Trek: Generations (1994)
295,330,Tales from the Hood (1995)
296,331,Tom & Viv (1994)
297,332,Village of the Damned (1995)
298,333,Tommy Boy (1995)
299,334,Vanya on 42nd Street (1994)
300,335,Underneath (1995)
301,336,"Walking Dead, The (1995)"
302,337,What's Eating Gilbert Grape (1993)
303,338,Virtuosity (1995)
304,339,While You Were Sleeping (1995)
305,340,"War, The (1994)"
306,341,Double Happiness (1994)
307,342,Muriel's Wedding (1994)
308,343,"Baby-Sitters Club, The (1995)"
309,344,Ace Ventura: Pet Detective (1994)
310,345,"Adventures of Priscilla, Queen of the Desert, The (1994)"
311,346,Backbeat (1993)
312,347,Bitter Moon (1992)
313,348,Bullets Over Broadway (1994)
314,349,Clear and Present Danger (1994)
315,350,"Client, The (1994)"
316,351,"Corrina, Corrina (1994)"
317,352,Crooklyn (1994)
318,353,"Crow, The (1994)"
319,354,Cobb (1994)
320,355,"Flintstones, The (1994)"
321,356,Forrest Gump (1994)
322,357,Four Weddings and a Funeral (1994)
323,358,Higher Learning (1995)
324,360,I Love Trouble (1994)
325,361,It Could Happen to You (1994)
326,362,"Jungle Book, The (1994)"
327,363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)"
328,364,"Lion King, The (1994)"
329,365,Little Buddha (1993)
330,366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)"
331,367,"Mask, The (1994)"
332,368,Maverick (1994)
333,369,Mrs. Parker and the Vicious Circle (1994)
334,370,Naked Gun 33 1/3: The Final Insult (1994)
335,371,"Paper, The (1994)"
336,372,Reality Bites (1994)
337,373,Red Rock West (1992)
338,374,Richie Rich (1994)
339,375,Safe Passage (1994)
340,376,"River Wild, The (1994)"
341,377,Speed (1994)
342,378,Speechless (1994)
343,379,Timecop (1994)
344,380,True Lies (1994)
345,381,When a Man Loves a Woman (1994)
346,382,Wolf (1994)
347,383,Wyatt Earp (1994)
348,384,Bad Company (1995)
349,387,"Low Down Dirty Shame, A (1994)"
350,388,Boys Life (1995)
351,389,"Colonel Chabert, Le (1994)"
352,390,Faster Pussycat! Kill! Kill! (1965)
353,391,Jason's Lyric (1994)
354,392,"Secret Adventures of Tom Thumb, The (1993)"
355,393,Street Fighter (1994)
356,401,Mirage (1995)
357,405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994)
358,407,In the Mouth of Madness (1995)
359,408,8 Seconds (1994)
360,409,Above the Rim (1994)
361,410,Addams Family Values (1993)
362,412,"Age of Innocence, The (1993)"
363,413,Airheads (1994)
364,414,"Air Up There, The (1994)"
365,415,Another Stakeout (1993)
366,416,Bad Girls (1994)
367,417,Barcelona (1994)
368,418,Being Human (1993)
369,419,"Beverly Hillbillies, The (1993)"
370,420,Beverly Hills Cop III (1994)
371,421,Black Beauty (1994)
372,422,Blink (1994)
373,423,Blown Away (1994)
374,424,Blue Chips (1994)
375,425,Blue Sky (1994)
376,426,Body Snatchers (1993)
377,427,Boxing Helena (1993)
378,428,"Bronx Tale, A (1993)"
379,429,Cabin Boy (1994)
380,431,Carlito's Way (1993)
381,432,City Slickers II: The Legend of Curly's Gold (1994)
382,433,Clean Slate (1994)
383,434,Cliffhanger (1993)
384,435,Coneheads (1993)
385,436,Color of Night (1994)
386,437,Cops and Robbersons (1994)
387,438,"Cowboy Way, The (1994)"
388,439,Dangerous Game (1993)
389,440,Dave (1993)
390,441,Dazed and Confused (1993)
391,442,Demolition Man (1993)
392,443,"Endless Summer 2, The (1994)"
393,444,Even Cowgirls Get the Blues (1993)
394,445,Fatal Instinct (1993)
395,446,Farewell My Concubine (Ba wang bie ji) (1993)
396,447,"Favor, The (1994)"
397,448,Fearless (1993)
398,449,Fear of a Black Hat (1994)
399,450,With Honors (1994)
400,451,Flesh and Bone (1993)
401,452,Widows' Peak (1994)
402,453,For Love or Money (1993)
403,454,"Firm, The (1993)"
404,455,Free Willy (1993)
405,456,Fresh (1994)
406,457,"Fugitive, The (1993)"
407,458,Geronimo: An American Legend (1993)
408,459,"Getaway, The (1994)"
409,460,Getting Even with Dad (1994)
410,461,Go Fish (1994)
411,463,Guilty as Sin (1993)
412,464,Hard Target (1993)
413,465,Heaven & Earth (1993)
414,466,Hot Shots! Part Deux (1993)
415,467,Live Nude Girls (1995)
416,468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
417,469,"House of the Spirits, The (1993)"
418,470,House Party 3 (1994)
419,471,"Hudsucker Proxy, The (1994)"
420,472,I'll Do Anything (1994)
421,473,In the Army Now (1994)
422,474,In the Line of Fire (1993)
423,475,In the Name of the Father (1993)
424,476,"Inkwell, The (1994)"
425,477,What's Love Got to Do with It? (1993)
426,479,Judgment Night (1993)
427,480,Jurassic Park (1993)
428,481,Kalifornia (1993)
429,482,Killing Zoe (1994)
430,483,King of the Hill (1993)
431,484,Lassie (1994)
432,485,Last Action Hero (1993)
433,486,Life with Mikey (1993)
434,487,Lightning Jack (1994)
435,488,M. Butterfly (1993)
436,489,Made in America (1993)
437,490,Malice (1993)
438,491,"Man Without a Face, The (1993)"
439,492,Manhattan Murder Mystery (1993)
440,493,Menace II Society (1993)
441,494,Executive Decision (1996)
442,495,In the Realm of the Senses (Ai no corrida) (1976)
443,496,What Happened Was... (1994)
444,497,Much Ado About Nothing (1993)
445,498,Mr. Jones (1993)
446,499,Mr. Wonderful (1993)
447,500,Mrs. Doubtfire (1993)
448,501,Naked (1993)
449,502,"Next Karate Kid, The (1994)"
450,504,No Escape (1994)
451,505,North (1994)
452,506,Orlando (1992)
453,507,"Perfect World, A (1993)"
454,508,Philadelphia (1993)
455,509,"Piano, The (1993)"
456,510,Poetic Justice (1993)
457,511,"Program, The (1993)"
458,512,"Puppet Masters, The (1994)"
459,513,Radioland Murders (1994)
460,514,"Ref, The (1994)"
461,515,"Remains of the Day, The (1993)"
462,516,Renaissance Man (1994)
463,517,Rising Sun (1993)
464,518,"Road to Wellville, The (1994)"
465,519,RoboCop 3 (1993)
466,520,Robin Hood: Men in Tights (1993)
467,521,Romeo Is Bleeding (1993)
468,522,Romper Stomper (1992)
469,523,Ruby in Paradise (1993)
470,524,Rudy (1993)
471,526,"Savage Nights (Nuits fauves, Les) (1992)"
472,527,Schindler's List (1993)
473,528,"Scout, The (1994)"
474,529,Searching for Bobby Fischer (1993)
475,531,"Secret Garden, The (1993)"
476,532,Serial Mom (1994)
477,533,"Shadow, The (1994)"
478,534,Shadowlands (1993)
479,535,Short Cuts (1993)
480,536,"Simple Twist of Fate, A (1994)"
481,537,Sirens (1994)
482,538,Six Degrees of Separation (1993)
483,539,Sleepless in Seattle (1993)
484,540,Sliver (1993)
485,541,Blade Runner (1982)
486,542,Son in Law (1993)
487,543,So I Married an Axe Murderer (1993)
488,544,Striking Distance (1993)
489,546,Super Mario Bros. (1993)
490,547,Surviving the Game (1994)
491,548,Terminal Velocity (1994)
492,549,Thirty-Two Short Films About Glenn Gould (1993)
493,550,Threesome (1994)
494,551,"Nightmare Before Christmas, The (1993)"
495,552,"Three Musketeers, The (1993)"
496,553,Tombstone (1993)
497,554,Trial by Jury (1994)
498,555,True Romance (1993)
499,556,"War Room, The (1993)"
500,558,"Pagemaster, The (1994)"
501,559,"Paris, France (1993)"
502,561,Killer (Bulletproof Heart) (1994)
503,562,Welcome to the Dollhouse (1995)
504,563,Germinal (1993)
505,564,Chasers (1994)
506,565,Cronos (1993)
507,567,Kika (1993)
508,568,Bhaji on the Beach (1993)
509,569,Little Big League (1994)
510,571,"Wedding Gift, The (1994)"
511,573,"Ciao, Professore! (Io speriamo che me la cavo) (1992)"
512,574,Spanking the Monkey (1994)
513,575,"Little Rascals, The (1994)"
514,577,Andre (1994)
515,580,Princess Caraboo (1994)
516,581,"Celluloid Closet, The (1995)"
517,582,Métisse (Café au Lait) (1993)
518,585,"Brady Bunch Movie, The (1995)"
519,586,Home Alone (1990)
520,587,Ghost (1990)
521,588,Aladdin (1992)
522,589,Terminator 2: Judgment Day (1991)
523,590,Dances with Wolves (1990)
524,592,Batman (1989)
525,593,"Silence of the Lambs, The (1991)"
526,594,Snow White and the Seven Dwarfs (1937)
527,595,Beauty and the Beast (1991)
528,596,Pinocchio (1940)
529,597,Pretty Woman (1990)
530,599,"Wild Bunch, The (1969)"
531,600,Love and a .45 (1994)
532,603,"Bye Bye, Love (1995)"
533,605,One Fine Day (1996)
534,606,Candyman: Farewell to the Flesh (1995)
535,608,Fargo (1996)
536,609,Homeward Bound II: Lost in San Francisco (1996)
537,610,Heavy Metal (1981)
538,611,Hellraiser: Bloodline (1996)
539,612,"Pallbearer, The (1996)"
540,613,Jane Eyre (1996)
541,614,Loaded (1994)
542,615,Bread and Chocolate (Pane e cioccolata) (1973)
543,616,"Aristocats, The (1970)"
544,617,"Flower of My Secret, The (La flor de mi secreto) (1995)"
545,619,Ed (1996)
546,620,Scream of Stone (Cerro Torre: Schrei aus Stein) (1991)
547,621,My Favorite Season (1993)
548,626,"Thin Line Between Love and Hate, A (1996)"
549,627,"Last Supper, The (1995)"
550,628,Primal Fear (1996)
551,630,Carried Away (1996)
552,631,All Dogs Go to Heaven 2 (1996)
553,632,Land and Freedom (Tierra y libertad) (1995)
554,633,Denise Calls Up (1995)
555,635,"Family Thing, A (1996)"
556,637,Sgt. Bilko (1996)
557,638,Jack and Sarah (1995)
558,639,Girl 6 (1996)
559,640,Diabolique (1996)
560,647,Courage Under Fire (1996)
561,648,Mission: Impossible (1996)
562,650,Moll Flanders (1996)
563,651,"Superweib, Das (1996)"
564,653,Dragonheart (1996)
565,656,Eddie (1996)
566,659,Purple Noon (Plein soleil) (1960)
567,661,James and the Giant Peach (1996)
568,662,Fear (1996)
569,663,Kids in the Hall: Brain Candy (1996)
570,664,Faithful (1996)
571,665,Underground (1995)
572,667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996)
573,668,Song of the Little Road (Pather Panchali) (1955)
574,670,"World of Apu, The (Apur Sansar) (1959)"
575,671,Mystery Science Theater 3000: The Movie (1996)
576,673,Space Jam (1996)
577,674,Barbarella (1968)
578,678,Some Folks Call It a Sling Blade (1993)
579,679,"Run of the Country, The (1995)"
580,680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)"
581,681,Coup de torchon (Clean Slate) (1981)
582,685,It's My Party (1996)
583,687,Country Life (1994)
584,688,Operation Dumbo Drop (1995)
585,690,"Promise, The (Versprechen, Das) (1995)"
586,691,Mrs. Winterbourne (1996)
587,692,Solo (1996)
588,694,"Substitute, The (1996)"
589,695,True Crime (1996)
590,696,Butterfly Kiss (1995)
591,697,Feeling Minnesota (1996)
592,698,Delta of Venus (1995)
593,700,Angus (1995)
594,702,Faces (1968)
595,703,Boys (1996)
596,704,"Quest, The (1996)"
597,705,Cosi (1996)
598,707,Mulholland Falls (1996)
599,708,"Truth About Cats & Dogs, The (1996)"
600,709,Oliver & Company (1988)
601,710,Celtic Pride (1996)
602,711,Flipper (1996)
603,714,Dead Man (1995)
604,715,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)"
605,718,"Visitors, The (Visiteurs, Les) (1993)"
606,719,Multiplicity (1996)
607,720,Wallace & Gromit: The Best of Aardman Animation (1996)
608,721,Halfmoon (Paul Bowles - Halbmond) (1995)
609,722,"Haunted World of Edward D. Wood Jr., The (1996)"
610,724,"Craft, The (1996)"
611,725,"Great White Hype, The (1996)"
612,726,Last Dance (1996)
613,728,Cold Comfort Farm (1995)
614,731,Heaven's Prisoners (1996)
615,733,"Rock, The (1996)"
616,735,Cemetery Man (Dellamorte Dellamore) (1994)
617,736,Twister (1996)
618,737,Barb Wire (1996)
619,741,Ghost in the Shell (Kôkaku kidôtai) (1995)
620,742,Thinner (1996)
621,743,Spy Hard (1996)
622,745,Wallace & Gromit: A Close Shave (1995)
623,746,Force of Evil (1948)
624,747,"Stupids, The (1996)"
625,748,"Arrival, The (1996)"
626,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
627,753,"Month by the Lake, A (1995)"
628,754,Gold Diggers: The Secret of Bear Mountain (1995)
629,755,Kim (1950)
630,756,Carmen Miranda: Bananas Is My Business (1994)
631,757,Ashes of Time (Dung che sai duk) (1994)
632,759,Maya Lin: A Strong Clear Vision (1994)
633,760,Stalingrad (1993)
634,761,"Phantom, The (1996)"
635,762,Striptease (1996)
636,764,Heavy (1995)
637,765,Jack (1996)
638,766,I Shot Andy Warhol (1996)
639,767,"Grass Harp, The (1995)"
640,769,Marlene Dietrich: Shadow and Light (1996)
641,775,Spirits of the Dead (1968)
642,778,Trainspotting (1996)
643,779,'Til There Was You (1997)
644,780,Independence Day (a.k.a. ID4) (1996)
645,781,Stealing Beauty (1996)
646,782,"Fan, The (1996)"
647,783,"Hunchback of Notre Dame, The (1996)"
648,784,"Cable Guy, The (1996)"
649,785,Kingpin (1996)
650,786,Eraser (1996)
651,787,"Gate of Heavenly Peace, The (1995)"
652,788,"Nutty Professor, The (1996)"
653,793,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993)
654,798,Daylight (1996)
655,799,"Frighteners, The (1996)"
656,800,Lone Star (1996)
657,801,Harriet the Spy (1996)
658,802,Phenomenon (1996)
659,803,Walking and Talking (1996)
660,804,She's the One (1996)
661,805,"Time to Kill, A (1996)"
662,806,American Buffalo (1996)
663,808,Alaska (1996)
664,809,Fled (1996)
665,810,Kazaam (1996)
666,813,Larger Than Life (1996)
667,816,Two Deaths (1995)
668,818,"Very Brady Sequel, A (1996)"
669,820,"Death in the Garden (Mort en ce jardin, La) (1956)"
670,824,Kaspar Hauser (1993)
671,828,"Adventures of Pinocchio, The (1996)"
672,829,Joe's Apartment (1996)
673,830,"First Wives Club, The (1996)"
674,831,Stonewall (1995)
675,832,Ransom (1996)
676,833,High School High (1996)
677,834,Phat Beach (1996)
678,835,Foxfire (1996)
679,836,Chain Reaction (1996)
680,837,Matilda (1996)
681,838,Emma (1996)
682,839,"Crow: City of Angels, The (1996)"
683,840,House Arrest (1996)
684,841,"Eyes Without a Face (Yeux sans visage, Les) (1959)"
685,842,Tales from the Crypt Presents: Bordello of Blood (1996)
686,844,"Story of Xinghua, The (Xinghua san yue tian) (1994)"
687,845,"Day the Sun Turned Cold, The (Tianguo niezi) (1994)"
688,846,Flirt (1995)
689,848,"Spitfire Grill, The (1996)"
690,849,Escape from L.A. (1996)
691,850,Cyclo (Xich lo) (1995)
692,851,Basquiat (1996)
693,852,Tin Cup (1996)
694,854,"Ballad of Narayama, The (Narayama Bushiko) (1958)"
695,858,"Godfather, The (1972)"
696,861,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992)
697,864,"Wife, The (1995)"
698,865,Small Faces (1996)
699,866,Bound (1996)
700,867,Carpool (1996)
701,869,Kansas City (1996)
702,870,Gone Fishin' (1997)
703,872,Vive L'Amour (Ai qing wan sui) (1994)
704,875,Nothing to Lose (1994)
705,876,Supercop 2 (Project S) (Chao ji ji hua) (1993)
706,879,"Relic, The (1997)"
707,880,"Island of Dr. Moreau, The (1996)"
708,881,First Kid (1996)
709,882,"Trigger Effect, The (1996)"
710,885,Bogus (1996)
711,886,Bulletproof (1996)
712,888,Land Before Time III: The Time of the Great Giving (1995)
713,889,1-900 (06) (1994)
714,891,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995)
715,892,Twelfth Night (1996)
716,893,Mother Night (1996)
717,896,Wild Reeds (Les roseaux sauvages) (1994)
718,897,For Whom the Bell Tolls (1943)
719,898,"Philadelphia Story, The (1940)"
720,899,Singin' in the Rain (1952)
721,900,"American in Paris, An (1951)"
722,901,Funny Face (1957)
723,902,Breakfast at Tiffany's (1961)
724,903,Vertigo (1958)
725,904,Rear Window (1954)
726,905,It Happened One Night (1934)
727,906,Gaslight (1944)
728,907,"Gay Divorcee, The (1934)"
729,908,North by Northwest (1959)
730,909,"Apartment, The (1960)"
731,910,Some Like It Hot (1959)
732,911,Charade (1963)
733,912,Casablanca (1942)
734,913,"Maltese Falcon, The (1941)"
735,914,My Fair Lady (1964)
736,915,Sabrina (1954)
737,916,Roman Holiday (1953)
738,917,"Little Princess, The (1939)"
739,918,Meet Me in St. Louis (1944)
740,919,"Wizard of Oz, The (1939)"
741,920,Gone with the Wind (1939)
742,921,My Favorite Year (1982)
743,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
744,923,Citizen Kane (1941)
745,924,2001: A Space Odyssey (1968)
746,926,All About Eve (1950)
747,927,"Women, The (1939)"
748,928,Rebecca (1940)
749,929,Foreign Correspondent (1940)
750,930,Notorious (1946)
751,931,Spellbound (1945)
752,932,"Affair to Remember, An (1957)"
753,933,To Catch a Thief (1955)
754,934,Father of the Bride (1950)
755,935,"Band Wagon, The (1953)"
756,936,Ninotchka (1939)
757,937,Love in the Afternoon (1957)
758,938,Gigi (1958)
759,939,"Reluctant Debutante, The (1958)"
760,940,"Adventures of Robin Hood, The (1938)"
761,941,"Mark of Zorro, The (1940)"
762,942,Laura (1944)
